fname,tElapsed,z1TransfertTime,z2QuantityTransfered,nTruckAssigned,nTransfertDone,pTransfertDone
data_10_3_0,0.342,29,781,9,20,64.52
data_10_3_1,0.787,68,1030,7,28,46.67
data_10_3_2,0.646,52,949,8,28,58.33
data_10_3_3,0.543,32,498,6,15,31.25
data_10_3_4,0.79,55,968,7,27,45.76
data_12_4_0,9.707,63,980,8,29,39.19
data_12_4_1,4.656,68,1285,9,37,56.06
data_12_4_2,3.027,94,1496,10,45,76.27
data_12_4_3,7.113,92,1470,9,41,59.42
data_12_4_4,4.217,87,1408,9,42,66.67
data_12_6_0,33.861,91,1285,9,40,58.82
data_12_6_1,36.12,120,1493,11,52,89.66
data_12_6_2,84.927,139,1882,11,59,88.06
data_12_6_3,73.181,176,2366,12,46,63.89
data_12_6_4,30.708,119,1804,11,34,56.67
data_14_4_0,4.083,96,1636,11,50,75.76
data_14_4_1,3.177,80,1473,12,43,78.18
data_14_4_2,6.195,87,1686,11,48,61.54
data_14_4_3,3.611,55,856,10,31,50.0
data_14_4_4,7.948,93,1509,11,48,60.0
data_14_6_0,102.004,117,1858,12,55,72.37
data_14_6_1,152.031,113,1615,12,51,72.86
data_14_6_2,79.687,138,1894,12,58,77.33
data_14_6_3,51.298,122,1973,12,58,81.69
data_14_6_4,36.628,87,1322,11,41,66.13
data_16_4_0,10.421,135,2551,14,71,80.68
data_16_4_1,11.445,129,2060,13,66,70.21
data_16_4_2,3.997,88,1616,13,46,71.88
data_16_4_3,6.654,102,1778,13,54,66.67
data_16_4_4,3.852,61,1119,10,33,44.59
data_16_6_0,208.463,97,1591,12,47,55.95
data_16_6_1,91.301,170,2576,14,78,86.67
data_16_6_2,44.587,104,1767,12,51,64.56
data_16_6_3,83.354,151,2193,14,66,79.52
data_16_6_4,46.325,152,2268,15,69,88.46
data_18_4_0,9.194,99,1812,14,56,63.64
data_18_4_1,10.164,164,2431,17,86,93.48
data_18_4_2,11.879,97,2011,13,52,54.17
data_18_4_3,11.257,126,1915,12,52,50.0
data_18_4_4,11.493,121,1980,14,62,63.27
data_18_6_0,98.589,158,2503,15,71,75.53
data_18_6_1,91.453,182,2914,15,82,74.55
data_18_6_2,70.69,170,2728,16,81,86.17
data_18_6_3,79.34,150,1962,14,62,63.92
data_18_6_4,53.487,146,2197,16,68,87.18
data_20_6_0,227.273,194,3039,16,84,61.31
data_20_6_1,353.924,195,2902,16,88,71.54
data_20_6_2,97.591,194,2818,17,91,88.35
data_20_6_3,103.752,141,2351,16,40,38.1
data_20_6_4,194.63,159,2278,16,69,65.09
data_20_8_0,599.659,202,2730,19,87,93.55
data_20_8_1,600.0,-1,-1,-1,-1,-1.0
data_20_8_2,600.0,-1,-1,-1,-1,-1.0
data_20_8_3,600.0,-1,-1,-1,-1,-1.0
data_20_8_4,600.0,-1,-1,-1,-1,-1.0
data_25_6_0,191.679,184,2941,21,88,75.21
data_25_6_1,251.288,187,3150,22,95,76.0
data_25_6_2,232.982,246,3841,22,110,82.09
data_25_6_3,579.702,206,3271,20,99,68.75
data_25_6_4,231.332,262,3552,20,112,76.19
data_25_8_0,600.0,-1,-1,-1,-1,-1.0
data_25_8_1,600.0,-1,-1,-1,-1,-1.0
data_25_8_2,600.0,-1,-1,-1,-1,-1.0
data_25_8_3,600.0,-1,-1,-1,-1,-1.0
data_25_8_4,600.0,-1,-1,-1,-1,-1.0
