fname,tElapsed,zOpt,zOptCost,zOptPenalty,nTransfertDone,nTruckAssigned,pTransfertDone
data_10_3_0,0.198,3105,38,3067,20,9,64.52
data_10_3_1,0.347,8410,112,8298,28,7,46.67
data_10_3_2,0.263,6545,120,6425,28,8,58.33
data_10_3_3,0.245,10005,44,9961,15,6,31.25
data_10_3_4,0.381,9985,130,9855,27,7,45.76
data_12_4_0,3.1,13554,92,13462,30,8,40.54
data_12_4_1,3.804,7911,96,7815,37,9,56.06
data_12_4_2,2.874,4032,161,3871,45,10,76.27
data_12_4_3,5.227,8556,122,8434,41,9,59.42
data_12_4_4,2.764,6353,122,6231,42,9,66.67
data_12_6_0,32.727,8630,191,8439,39,9,57.35
data_12_6_1,89.21,1722,176,1546,52,11,89.66
data_12_6_2,191.381,2366,260,2106,59,11,88.06
data_12_6_3,49.773,440,251,189,71,12,98.61
data_12_6_4,23.037,2809,186,2623,52,11,86.67
data_14_4_0,2.688,5627,288,5339,50,11,75.76
data_14_4_1,1.693,3932,156,3776,43,12,78.18
data_14_4_2,3.977,7560,192,7368,48,11,61.54
data_14_4_3,1.954,9568,84,9484,31,10,50.0
data_14_4_4,3.066,8762,167,8595,48,11,60.0
data_14_6_0,118.641,6380,292,6088,55,12,72.37
data_14_6_1,89.199,6363,252,6111,51,12,72.86
data_14_6_2,83.93,5076,332,4744,58,12,77.33
data_14_6_3,54.634,3361,216,3145,58,12,81.69
data_14_6_4,41.577,5756,157,5599,41,11,66.13
data_16_4_0,5.413,5793,259,5534,71,14,80.68
data_16_4_1,5.449,9050,210,8840,66,13,70.21
data_16_4_2,2.752,5579,176,5403,46,13,71.88
data_16_4_3,3.484,6649,165,6484,54,13,66.67
data_16_4_4,2.247,9951,87,9864,31,10,41.89
data_16_6_0,50.119,11162,176,10986,46,12,54.76
data_16_6_1,60.471,3915,293,3622,78,14,86.67
data_16_6_2,137.281,7799,174,7625,51,12,64.56
data_16_6_3,144.512,4654,307,4347,66,14,79.52
data_16_6_4,48.524,2597,324,2273,69,15,88.46
data_18_4_0,4.448,10376,122,10254,50,14,56.82
data_18_4_1,4.462,1987,358,1629,86,17,93.48
data_18_4_2,6.004,12626,111,12515,52,13,54.17
data_18_4_3,7.01,15611,211,15400,52,12,50.0
data_18_4_4,8.389,9467,154,9313,59,14,60.2
data_18_6_0,56.549,5972,321,5651,71,15,75.53
data_18_6_1,58.384,8231,335,7896,81,15,73.64
data_18_6_2,63.577,3965,316,3649,81,16,86.17
data_18_6_3,73.592,9956,220,9736,62,14,63.92
data_18_6_4,43.497,2979,238,2741,68,16,87.18
data_20_6_0,120.286,17504,321,17183,84,16,61.31
data_20_6_1,198.974,10825,349,10476,86,16,69.92
data_20_6_2,115.921,4365,304,4061,91,17,88.35
data_20_6_3,134.17,10432,235,10197,71,16,67.62
data_20_6_4,116.109,10924,271,10653,69,16,65.09
data_20_8_0,396.362,2176,353,1823,87,19,93.55
data_20_8_1,600.0,-1,-1,-1,-1,-1,-1.0
data_20_8_2,600.0,-1,-1,-1,-1,-1,-1.0
data_20_8_3,600.0,-1,-1,-1,-1,-1,-1.0
data_20_8_4,600.0,-1,-1,-1,-1,-1,-1.0
data_25_6_0,248.723,7881,301,7580,88,21,75.21
data_25_6_1,319.343,9627,267,9360,95,22,76.0
data_25_6_2,298.268,6853,477,6376,110,22,82.09
data_25_6_3,496.524,12345,456,11889,99,20,68.75
data_25_6_4,196.427,10633,510,10123,110,20,74.83
data_25_8_0,600.0,-1,-1,-1,-1,-1,-1.0
data_25_8_1,600.0,-1,-1,-1,-1,-1,-1.0
data_25_8_2,600.0,-1,-1,-1,-1,-1,-1.0
data_25_8_3,600.0,-1,-1,-1,-1,-1,-1.0
data_25_8_4,600.0,-1,-1,-1,-1,-1,-1.0
data_30_6_0,600.0,-1,-1,-1,-1,-1,-1.0
data_30_6_1,600.0,-1,-1,-1,-1,-1,-1.0
data_30_6_2,600.0,-1,-1,-1,-1,-1,-1.0
data_30_6_3,600.0,-1,-1,-1,-1,-1,-1.0
data_30_6_4,307.762,19636,319,19317,100,23,58.14
data_30_8_0,600.0,-1,-1,-1,-1,-1,-1.0
data_30_8_1,600.0,-1,-1,-1,-1,-1,-1.0
data_30_8_2,600.0,-1,-1,-1,-1,-1,-1.0
data_30_8_3,600.0,-1,-1,-1,-1,-1,-1.0
data_30_8_4,600.0,-1,-1,-1,-1,-1,-1.0
